FORD,GE,MICROSOFT
12.57,25.7,27.33
12.23,26.75,25.02
13.55,25.99,25.87
13.15,21.92,22.41
14.59,21.64,21.84
13.23,20.31,23.46
11.22,22.52,20.58
9.81,21.08,21.05
8.17,17.36,18.76
7.13,17.78,22.93
9.6,19.1,24.74
7.84,17.28,22.17
7.76,16.42,20.36
7.09,17.2,20.4
6.41,18.24,20.83
8.86,21.06,22
9.04,20.53,21.18
9.46,20.65,22.06
9.61,20.47,22.73
10.04,21.29,22.82
9.35,21.59,23.92
10.62,21.01,22.62
11.56,20.77,22.25
14.01,22.59,23.69
12.81,24.52,23.93
12.12,23.85,22.96
11.96,22.39,21.57
13.62,21.97,22.61
13.17,22.83,22.7
13.88,23.91,24.72
13.14,24.54,24.65
12.6,24.2,23.69
12.54,24.93,24
11.72,25.33,24.28
12.75,26.25,25.93
13.17,27.26,25.85
11.94,26.98,25.42
11.47,26.45,24.41
10.27,27.1,23.45
8.35,27.2,24.55
9.14,27.41,25.11
9.38,26.2,24.18
9.93,26.08,24.93
9.22,25.41,26.73
9.12,25.62,25.12
7.79,25.81,25.09
7.61,27.18,27.1
7.23,26.87,25.61
8.13,25.1,27.56
7.55,25.38,26.4
7.54,26.86,26.73
6.67,26.71,23.73
6.88,26.46,22.34
6.66,25.64,22.98
6.45,25.43,23.73
8.1,26.5,25.44
7.83,27.66,27.07
8.01,27.51,28.42
7.86,27.64,29.16
7.27,29.37,29.66
7.86,28.46,30.65
7.65,27.77,28.08
7.63,28.13,27.78
7.78,29.33,29.84
8.07,29.9,30.69
9.11,30.67,29.47
8.23,31.06,28.99
7.56,31.15,28.73
8.21,33.4,29.46
8.58,33.21,36.81
7.27,30.89,33.6
6.51,30.16,35.6
6.42,28.77,32.6
6.32,27.21,27.2
5.53,30.39,28.38
7.99,26.85,28.52
6.58,25.22,28.32
4.65,22.16,27.51
4.64,23.49,25.72
4.31,23.33,27.29
5.03,21.45,26.69
2.12,16.41,22.33
2.6,14.45,20.22
2.22,13.89,19.44
1.81,10.4,17.1
1.93,7.51,16.15
2.54,8.92,18.37
5.78,11.17,20.26
5.56,11.9,20.89
5.87,10.43,23.77
7.74,11.93,23.52
7.35,12.37,24.65
6.97,14.7,25.72
6.77,12.77,27.73
8.6,14.34,29.41
9.67,13.63,30.48
10.49,14.49,28.18
11.36,14.56,28.67
12.16,16.5,29.29
12.6,17.1,30.54
11.35,14.82,25.8
9.75,13.16,23.01
12.35,14.71,25.81
10.92,13.21,23.47
11.84,14.94,24.49
13.67,14.73,26.67
15.42,14.55,25.26
16.24,16.94,27.91
15.43,18.66,27.73
14.56,19.51,26.58
14.42,18.7,25.39
14.97,19.08,25.92
14.43,18.32,25.01
13.34,17.74,26
11.81,16.84,27.4
10.76,15.34,26.6
9.35,14.45,24.89
11.3,15.87,26.63
10.25,15.11,25.58
10.41,17.17,25.96
12.06,17.94,29.53
12.02,18.43,31.74
12.12,19.41,32.26
11,18.94,32.02
10.3,18.46,29.19
9.35,20.33,30.59
9.01,20.24,29.47
9.16,20.2,30.82
9.67,22.32,29.76
11,20.7,28.54
11.28,20.77,26.62
12.76,20.82,26.71
12.86,22.1,27.45
12.52,23.22,27.8
13.05,23.12,28.61
13.61,22.29,33.1